"NAME","ID","BASIN","ISO_TIME_________","NATURE","LAT","LON","WMO WIND","WMO PRES","USA WIND","USA PRES","TOKYO WIND","TOKYO PRES","CMA WIND","CMA PRES","HKO WIND","HKO PRES"
"ROKE","2005071N06152","WP","03:00:00","TS","10.68","111.25","","","","","","1008","19","1006","",""
"ROKE","2005071N06152","WP","06:00:00","TS","10.50","110.50","","1008","","","","1008","19","1006","",""
"WASHI","2005210N19115","WP","2005-07-28 12:00:00","NR","18.50","114.60","","","","","","","","","25","998"
"WASHI","2005210N19115","WP","15:00:00","NR","18.63","113.84","","","","","","","","","27","997"
"WASHI","2005210N19115","WP","18:00:00","TS","18.42","113.03","","996","25","1002","","996","29","996","30","996"
"WASHI","2005210N19115","WP","21:00:00","TS","18.39","112.70","","","30","999","","996","29","996","30","996"
"WASHI","2005210N19115","WP","2005-07-29 00:00:00","TS","18.39","112.45","","996","35","997","","996","29","996","30","996"
"WASHI","2005210N19115","WP","03:00:00","TS","18.46","112.21","","","35","997","","995","31","994","30","996"
"WASHI","2005210N19115","WP","06:00:00","TS","18.55","111.98","","994","35","997","","994","34","992","30","996"
"WASHI","2005210N19115","WP","09:00:00","TS","18.60","111.77","","","35","997","","993","36","991","32","994"
"WASHI","2005210N19115","WP","12:00:00","TS","18.65","111.55","35","992","35","997","35","992","38","990","35","992"
"WASHI","2005210N19115","WP","15:00:00","TS","18.73","111.31","","","37","995","37","988","43","987","37","990"
"WASHI","2005210N19115","WP","18:00:00","TS","18.85","111.00","40","985","40","994","40","985","48","984","40","988"
"WASHI","2005210N19115","WP","21:00:00","TS","19.01","110.59","","","42","992","42","985","46","984","40","988"
"WASHI","2005210N19115","WP","2005-07-30 00:00:00","TS","19.17","110.15","45","985","45","991","45","985","44","985","40","988"
"WASHI","2005210N19115","WP","03:00:00","TS","19.30","109.76","","","40","994","45","985","44","985","40","988"
"WASHI","2005210N19115","WP","06:00:00","TS","19.40","109.38","45","985","35","997","45","985","44","985","40","988"
"WASHI","2005210N19115","WP","09:00:00","TS","19.47","108.93","","","40","994","45","985","44","985","42","986"
"WASHI","2005210N19115","WP","12:00:00","TS","19.52","108.50","45","985","45","991","45","985","44","985","45","984"
"WASHI","2005210N19115","WP","15:00:00","TS","19.60","108.14","","","45","991","45","985","44","985","45","984"
"WASHI","2005210N19115","WP","18:00:00","TS","19.70","107.78","45","985","45","991","45","985","44","985","45","984"
"WASHI","2005210N19115","WP","21:00:00","TS","19.81","107.37","","","45","991","45","985","44","985","45","984"
"WASHI","2005210N19115","WP","2005-07-31 00:00:00","TS","19.95","106.93","45","985","45","991","45","985","44","985","45","984"
"WASHI","2005210N19115","WP","03:00:00","TS","20.12","106.45","","","40","994","42","985","41","985","42","986"
