"NAME","ID","BASIN","ISO_TIME_________","NATURE","LAT","LON","WMO WIND","WMO PRES","USA WIND","USA PRES","TOKYO WIND","TOKYO PRES","CMA WIND","CMA PRES","HKO WIND","HKO PRES"
"CIMARON","2001125N05129","WP","2001-05-05 00:00:00","TS","5.30","129.00","","","25","","","","","","",""
"CIMARON","2001125N05129","WP","03:00:00","TS","5.60","128.57","","","22","","","","","","",""
"CIMARON","2001125N05129","WP","06:00:00","TS","5.90","128.20","","","20","","","","","","",""
"CIMARON","2001125N05129","WP","09:00:00","TS","6.21","127.92","","","20","","","","","","",""
"CIMARON","2001125N05129","WP","12:00:00","TS","6.50","127.70","","","20","","","","","","",""
"CIMARON","2001125N05129","WP","15:00:00","TS","6.74","127.48","","","20","","","","","","",""
"CIMARON","2001125N05129","WP","18:00:00","TS","7.00","127.30","","","20","","","","","","",""
"CIMARON","2001125N05129","WP","21:00:00","TS","7.34","127.14","","","20","","","","","","",""
"CIMARON","2001125N05129","WP","2001-05-06 00:00:00","TS","7.70","127.00","","","20","","","","","","",""
"CIMARON","2001125N05129","WP","03:00:00","TS","8.00","126.89","","","20","","","","","","",""
"CIMARON","2001125N05129","WP","06:00:00","TS","8.30","126.80","","","20","","","","","","",""
"CIMARON","2001125N05129","WP","09:00:00","TS","8.66","126.69","","","20","","","","","","",""
"CIMARON","2001125N05129","WP","12:00:00","TS","9.00","126.60","","","20","","","","","","",""
"CIMARON","2001125N05129","WP","15:00:00","TS","9.27","126.53","","","20","","","","","","",""
"CIMARON","2001125N05129","WP","18:00:00","TS","9.50","126.50","","","20","","","","","","",""
"CIMARON","2001125N05129","WP","21:00:00","TS","9.71","126.49","","","22","","","","","","",""
"CIMARON","2001125N05129","WP","2001-05-07 00:00:00","TS","9.90","126.50","","","25","1006","","","","","",""
"CIMARON","2001125N05129","WP","03:00:00","TS","10.10","126.52","","","25","","","","","","",""
