"NAME","ID","BASIN","ISO_TIME_________","NATURE","LAT","LON","WMO WIND","WMO PRES","USA WIND","USA PRES","TOKYO WIND","TOKYO PRES","CMA WIND","CMA PRES","HKO WIND","HKO PRES"
"CHAN-HOM","2009123N10111","WP","2009-05-02 18:00:00","TS","9.73","111.10","","1006","20","1007","","1006","19","1006","",""
"CHAN-HOM","2009123N10111","WP","21:00:00","TS","9.72","111.25","","","20","1006","","1005","22","1005","",""
"CHAN-HOM","2009123N10111","WP","2009-05-03 00:00:00","TS","9.70","111.37","","1004","20","1005","","1004","25","1004","",""
"CHAN-HOM","2009123N10111","WP","03:00:00","TS","9.68","111.44","","","22","1004","","1004","27","1003","",""
"CHAN-HOM","2009123N10111","WP","06:00:00","TS","9.70","111.50","","1004","25","1004","","1004","29","1002","25","1002"
"CHAN-HOM","2009123N10111","WP","09:00:00","TS","9.79","111.61","","","27","1002","","1002","31","1000","30","999"
"CHAN-HOM","2009123N10111","WP","12:00:00","TS","9.93","111.74","35","1000","30","1000","35","1000","34","998","35","996"
"CHAN-HOM","2009123N10111","WP","15:00:00","TS","10.06","111.87","","","32","998","35","999","34","997","35","995"
"CHAN-HOM","2009123N10111","WP","18:00:00","TS","10.23","112.00","35","998","35","996","35","998","34","996","35","995"
"CHAN-HOM","2009123N10111","WP","21:00:00","TS","10.41","112.17","","","37","994","35","997","34","996","37","993"
"CHAN-HOM","2009123N10111","WP","2009-05-04 00:00:00","TS","10.60","112.28","35","996","40","993","35","996","34","996","40","992"
"CHAN-HOM","2009123N10111","WP","03:00:00","TS","10.76","112.24","","","42","991","37","994","36","995","42","991"
"CHAN-HOM","2009123N10111","WP","06:00:00","TS","10.92","112.15","40","992","45","989","40","992","38","995","45","990"
"CHAN-HOM","2009123N10111","WP","09:00:00","TS","11.11","112.10","","","42","991","42","991","41","992","45","990"
"CHAN-HOM","2009123N10111","WP","12:00:00","TS","11.27","112.05","45","990","40","993","45","990","44","990","45","990"
"CHAN-HOM","2009123N10111","WP","15:00:00","TS","11.38","112.01","","","42","991","47","987","46","990","45","990"
"CHAN-HOM","2009123N10111","WP","18:00:00","TS","11.48","111.98","50","985","45","989","50","985","48","990","45","990"
"CHAN-HOM","2009123N10111","WP","21:00:00","TS","11.59","111.97","","","50","985","52","982","51","987","47","987"
"CHAN-HOM","2009123N10111","WP","2009-05-05 00:00:00","TS","11.75","111.98","55","980","55","982","55","980","54","985","50","985"
"CHAN-HOM","2009123N10111","WP","03:00:00","TS","12.01","111.94","","","55","982","55","980","54","985","50","985"
"CHAN-HOM","2009123N10111","WP","06:00:00","TS","12.30","111.93","55","980","55","982","55","980","54","985","50","985"
"CHAN-HOM","2009123N10111","WP","09:00:00","TS","12.57","111.99","","","55","982","55","980","54","985","50","985"
"CHAN-HOM","2009123N10111","WP","12:00:00","TS","12.82","112.12","55","980","55","982","55","980","54","985","50","985"
"CHAN-HOM","2009123N10111","WP","15:00:00","TS","13.08","112.31","","","55","982","55","980","54","985","52","982"
"CHAN-HOM","2009123N10111","WP","18:00:00","TS","13.30","112.55","55","980","55","982","55","980","54","985","55","980"
